Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Caller","[dui70.dll]","[ExplorerFrame.dll]","1,817",12,4.35,0.03,
"Caller","[dui70.dll]","[ntdll.dll]",71,0,0.17,0.00,
"Caller","[dui70.dll]","[shell32.dll]","1,107",2,2.65,0.00,
"Caller","[dui70.dll]","[shlwapi.dll]",9,0,0.02,0.00,
"Caller","[dui70.dll]","[user32.dll]",912,0,2.18,0.00,
"Callee","[dui70.dll]","[comctl32.dll]",6,6,0.01,0.01,
"Callee","[dui70.dll]","[dui70.dll]","3,598",448,8.61,1.07,
"Callee","[dui70.dll]","[duser.dll]",757,11,1.81,0.03,
"Callee","[dui70.dll]","[ExplorerFrame.dll]","2,066",35,4.94,0.08,
"Callee","[dui70.dll]","[gdi32.dll]",11,11,0.03,0.03,
"Callee","[dui70.dll]","[gdi32full.dll]",1,1,0.00,0.00,
"Callee","[dui70.dll]","[kernel32.dll]",12,12,0.03,0.03,
"Callee","[dui70.dll]","[KernelBase.dll]",23,23,0.06,0.06,
"Callee","[dui70.dll]","[msvcrt.dll]",56,56,0.13,0.13,
"Callee","[dui70.dll]","[ntdll.dll]",690,77,1.65,0.18,
"Callee","[dui70.dll]","[ntdll.dll]",26,26,0.06,0.06,
"Callee","[dui70.dll]","[SHCore.dll]",1,1,0.00,0.00,
"Callee","[dui70.dll]","[shell32.dll]",861,203,2.06,0.49,
"Callee","[dui70.dll]","[user32.dll]",518,505,1.24,1.21,
"Callee","[dui70.dll]","[uxtheme.dll]",29,29,0.07,0.07,
"Callee","[dui70.dll]","[win32u.dll]",39,38,0.09,0.09,
"Callee","[dui70.dll]","[windows.storage.dll]",1,1,0.00,0.00,
"Callee","[dui70.dll]","[xmllite.dll]",4,0,0.01,0.00,
"Callee","[dui70.dll]","[xmllite.dll]",5,0,0.01,0.00,
"Root","[duser.dll]","[duser.dll]","4,030",35,9.64,0.08,
"Caller","[duser.dll]","[atlthunk.dll]","1,556",0,3.72,0.00,
"Caller","[duser.dll]","[comctl32.dll]","1,412",0,3.38,0.00,
"Caller","[duser.dll]","[dui70.dll]",757,11,1.81,0.03,
"Caller","[duser.dll]","[duser.dll]","1,991",20,4.76,0.05,
"Caller","[duser.dll]","[ExplorerFrame.dll]",6,1,0.01,0.00,
"Caller","[duser.dll]","[ntdll.dll]",5,0,0.01,0.00,
"Caller","[duser.dll]","[shell32.dll]",145,1,0.35,0.00,
"Caller","[duser.dll]","[user32.dll]","1,280",1,3.06,0.00,
"Callee","[duser.dll]","[dui70.dll]","1,521",8,3.64,0.02,
"Callee","[duser.dll]","[duser.dll]","1,991",20,4.76,0.05,
"Callee","[duser.dll]","[ExplorerFrame.dll]",464,0,1.11,0.00,
"Callee","[duser.dll]","[gdi32.dll]",8,8,0.02,0.02,
"Callee","[duser.dll]","[gdi32full.dll]",3,3,0.01,0.01,
"Callee","[duser.dll]","[kernel32.dll]",1,1,0.00,0.00,
"Callee","[duser.dll]","[KernelBase.dll]",6,6,0.01,0.01,
"Callee","[duser.dll]","[msvcrt.dll]",3,3,0.01,0.01,
"Callee","[duser.dll]","[ntdll.dll]",40,40,0.10,0.10,
"Callee","[duser.dll]","[ntdll.dll]",219,89,0.52,0.21,
"Callee","[duser.dll]","[shell32.dll]",226,14,0.54,0.03,
"Callee","[duser.dll]","[user32.dll]","2,381",293,5.70,0.70,
"Callee","[duser.dll]","[uxtheme.dll]",34,34,0.08,0.08,
"Callee","[duser.dll]","[win32u.dll]",79,79,0.19,0.19,
"Root","[dxgi.dll]","[dxgi.dll]",1,0,0.00,0.00,
"Caller","[dxgi.dll]","[dxgi.dll]",1,0,0.00,0.00,
"Caller","[dxgi.dll]","[ole32.dll]",1,0,0.00,0.00,
"Callee","[dxgi.dll]","[dxgi.dll]",1,0,0.00,0.00,
"Callee","[dxgi.dll]","[ntdll.dll]",1,1,0.00,0.00,
"Root","[edputil.dll]","[edputil.dll]",3,0,0.01,0.00,
"Caller","[edputil.dll]","[propsys.dll]",1,0,0.00,0.00,
"Caller","[edputil.dll]","[thumbcache.dll]",2,0,0.00,0.00,
"Callee","[edputil.dll]","[ntdll.dll]",3,3,0.01,0.01,
"Root","[ExplorerFrame.dll]","[ExplorerFrame.dll]","8,982",82,21.48,0.20,
"Caller","[ExplorerFrame.dll]","[combase.dll]",2,0,0.00,0.00,
"Caller","[ExplorerFrame.dll]","[comctl32.dll]","2,442",4,5.84,0.01,
