Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[windows.storage.dll]",8,0.02,0x752749EB,0,0,0,0,
"FoodMazaPos.About.Dispose",8,0.02,0x09FD7C8D,20,13,20,37,
"FoodMazaPos.Cashier.dgv1_CellEndEdit",8,0.02,0x0CD59457,776,17,776,71,
"FoodMazaPos.ExportToExcel.LoadGridView1",8,0.02,0x09E6AB32,55,13,55,56,
"FoodMazaPos.InvoiceDetails.Dispose",8,0.02,0x0CD56D9D,20,13,20,37,
"FoodMazaPos.InvoiceDetails.LoadGridView",8,0.02,0x0CD563C8,54,13,54,55,
"FoodMazaPos.SalesSummary.InitializeComponent",8,0.02,0x09FD384D,364,13,364,52,
"FoodMazaPos.SalesSummary.Loadproducts",8,0.02,0x09FD5256,232,49,232,107,
"FoodMazaPos.SalesSummary.Loadproducts",8,0.02,0x09FD5AAB,281,37,281,62,
"[atlthunk.dll]",7,0.02,0x5F77199F,0,0,0,0,
"[comctl32.dll]",7,0.02,0x70D3977D,0,0,0,0,
"[DropboxExt.26.0.dll]",7,0.02,0x5DCDCD6E,0,0,0,0,
"[dui70.dll]",7,0.02,0x5EE948CA,0,0,0,0,
"[duser.dll]",7,0.02,0x5EDCA03A,0,0,0,0,
"[ExplorerFrame.dll]",7,0.02,0x60366188,0,0,0,0,
"[KernelBase.dll]",7,0.02,0x75E21F96,0,0,0,0,
"[KernelBase.dll]",7,0.02,0x75E2F3AB,0,0,0,0,
"[msvcrt.dll]",7,0.02,0x757E7FA8,0,0,0,0,
"[ntdll.dll]",7,0.02,0x778FFE39,0,0,0,0,
"[rpcrt4.dll]",7,0.02,0x761E7A44,0,0,0,0,
"[windows.storage.dll]",7,0.02,0x751B853E,0,0,0,0,
"[windows.storage.dll]",7,0.02,0x75237E2F,0,0,0,0,
"[windows.storage.dll]",7,0.02,0x7525B913,0,0,0,0,
"FoodMazaPos.About..ctor",7,0.02,0x09FD5E22,18,13,18,35,
"FoodMazaPos.Inventory..ctor",7,0.02,0x08EC2005,18,13,18,35,
"FoodMazaPos.InvoiceDetails.LoadGridView",7,0.02,0x0CD56386,53,13,53,56,
"FoodMazaPos.InvoiceDetails.LoadGridView",7,0.02,0x0CD56449,56,13,56,59,
"FoodMazaPos.SalesSummary.SalesSummary_Load",7,0.02,0x09FD391B,46,13,46,31,
"FoodMazaPos.Stocks.LoadGridView1",7,0.02,0x08EC6183,308,13,308,59,
"FoodMazaPos.Stocks.LoadGridView1",7,0.02,0x08EC61B9,309,13,309,55,
"FoodMazaPos.updatestocks.dgv_1",7,0.02,0x0CD5CC0C,63,13,63,102,
"[clbcatq.dll]",6,0.01,0x7661452E,0,0,0,0,
"[comctl32.dll]",6,0.01,0x70D22D1D,0,0,0,0,
"[DropboxExt.26.0.dll]",6,0.01,0x5DCDFCBB,0,0,0,0,
"[dui70.dll]",6,0.01,0x5EE795D8,0,0,0,0,
"[dui70.dll]",6,0.01,0x5EEAA2E7,0,0,0,0,
"[dui70.dll]",6,0.01,0x5EEAA2EF,0,0,0,0,
"[ExplorerFrame.dll]",6,0.01,0x6033BF4D,0,0,0,0,
"[gdi32.dll]",6,0.01,0x76EB41F2,0,0,0,0,
"[gdi32.dll]",6,0.01,0x76EB708E,0,0,0,0,
"[kernel32.dll]",6,0.01,0x7500BFF3,0,0,0,0,
"[KernelBase.dll]",6,0.01,0x75E2A3B2,0,0,0,0,
"[msftedit.dll]",6,0.01,0x5EB1D047,0,0,0,0,
"[msvcrt.dll]",6,0.01,0x757FA0F6,0,0,0,0,
"[ntdll.dll]",6,0.01,0x7791B292,0,0,0,0,
"[propsys.dll]",6,0.01,0x6FFE446F,0,0,0,0,
"[sechost.dll]",6,0.01,0x766F0ECC,0,0,0,0,
"[System.Data.ni.dll]",6,0.01,0x65023E00,0,0,0,0,
"[twinapi.appcore.dll]",6,0.01,0x644D7BA7,0,0,0,0,
"[win32u.dll]",6,0.01,0x76592C5C,0,0,0,0,
"[windows.storage.dll]",6,0.01,0x752350E9,0,0,0,0,
"[windows.storage.dll]",6,0.01,0x75265CDF,0,0,0,0,
"[windows.storage.dll]",6,0.01,0x752CDC33,0,0,0,0,
"FoodMazaPos.Cashier.cLOCKOUTLOGOUTToolStripMenuItem_Click",6,0.01,0x0CD5D070,"1,678",13,"1,678",25,
